,Test Case Document,,,,,,,,
,Project Name,Manual Testing of OrangeHRM Web Application,,,,,,,
,Module Name,Admin Search,,,,,,,
,Created By ,Srashti Mande,,,,,,,
,Created Date,29 May 2026,,,,,,,
,Peer Review By,NA,,,,,,,
,Peer Reviewed Date,NA,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scenario ID, Scenario Desciption,Test Case ID,Priority,Pre Condition,Steps to Execute,Test Data,Expected Result,Actual Result,Status
TS_ADMIN_01,Verify search with valid username,TC_ADMIN_01,High,User is logged into application and navigaetd to admin module,"1. Navigate to Admin module
2. Enter valid username in search field
3. Click Search button",Admin,System should display maching user records,Matching user records displayed successfully.,Pass
TS_ADMIN_02,Verify search with invalid username,TC_ADMIN_02,Medium,User is on Admin Search page,"1. Enter invalid username 
2. Click Search button",WrongUser,"System should display ""No Records Found""","""No Records Found"" message displayed",Pass
TS_ADMIN_03,Verify search with empty field,TC_ADMIN_03,Medium,User is on Admin Search page,"1. Leave username fileld blank 
2. Click Search button",Blank,System should display all records or validatons behaviord appropriately,Application displayed all records successfully,Pass
TS_ADMIN_04,Verify reset button functionality,TC_ADMIN_04,Low,User is on Admin Search page,"1. Enter data in search fields 
2. Click Resent button",Admin,All entered search field should clear successfully,Search field cleared successfully after clicking Reset button,Pass
TS_ADMIN_05,Verify search with special characters,TC_ADMIN_05,Medium,User is on Admin Search page,"1. Enter special character in username field 
2. Click Search button",@@@@,System should handle special characters appropriately without crashing,Application handled special characters without chraching,Pass
TS_ADMIN_06,Verify search with input value,TC_ADMIN_06,Low,User is on Admin Search page,"1. Enter very long username value 
2. Click Search button",Very long random text,Application should handle long input properly without UI or functionality issues,Application handled long input properly without UI issues,Pass
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
