,Test Case Document,,,,,,,,
,Project Name,Manual Testing of OrangeHRM Web Application,,,,,,,
,Module Name,Dashboard,,,,,,,
,Created By ,Srashti Mande,,,,,,,
,Created Date,27 May 2026,,,,,,,
,Peer Review By,NA,,,,,,,
,Peer Reviewed Date,NA,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scenario ID, Scenario Desciption,Test Case ID,Priority,Pre Condition,Steps to Execute,Test Data,Expected Result,Actual Result,Status
TS_DASH_01,Verify dashboard page loads successfully after login,TC_DASH_01,High,User logged into application,"1. Enter valid username
2. Enter valid password
3. Click Login button",Admin / admin123,Dashboard page should load successfully after login,Dashnoard page loaded successfully after login.,Pass
TS_DASH_02,Verify dashboard widgets are displayed properly,TC_DASH_02,Medium,User logged into application,"1. Navigate to dashboard page
2. Observe dashboard widgets/cards",NA,All dashboard should display properly,All dashboard widgets display properly.,Pass
TS_DASH_03,Verify side menu navigation from dashboard,TC_DASH_03,High,User logged into application,1. Click different side menu option from sidebar,NA,User should navigate to selected modules successfully,User successfully navigated to selected modules from sidebar.,Pass
TS_DASH_04,Verify dashboard layout on browser zoom,TC_DASH_04,Low,User logged into application,"1. Zoom browser to 150% or 200%
2. Observe dashboard layout and alignment",NA,Dashboard layout should remain properly aligned,Dashboard layout remained properly aligned after zooming,Pass
TS_DASH_05,Verify dashboard refresh behavior,TC_DASH_05,Medium,User logged into application,1. Refresh dashboard page,NA,Dashboard should reload successfully without logging out user,Dashboard refreshed successfully without logging out user,Pass
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
