,Test Case Document,,,,,,,,
,Project Name,Manual Testing of OrangeHRM Web Application,,,,,,,
,Module Name,Login Module,,,,,,,
,Created By ,Srashti Mande,,,,,,,
,Created Date,27 May 2026,,,,,,,
,Peer Review By,NA,,,,,,,
,Peer Reviewed Date,NA,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scenario ID, Scenario Desciption,Test Case ID,Priority,Pre Condition,Steps to Execute,Test Data,Expected Result,Actual Result,Status
TS_LOGIN_01,Verify Login with valid credentials,TC_LOGIN_01,High,User is on login page,"1.Enter username
2.Enter password 
3.Click Login button",Admin / admin123,User should successfully login and navigate to the dashboard,User Successfully logged in and dashboard page displayed.,Pass
TS_LOGIN_02,Verify Login with invalid password,TC_LOGIN_02,High,User is on login page,"1.Enter username
2.Enter password 
3.Click Login button",Admin / admin12,Error message should display,"Error mesage ""Invalid credentials"" displayed adn login unsuccessful.",Pass
TS_LOGIN_03,Verify login with empty username,TC_LOGIN_03,High,User is on login page,"1.Leave username blank
2.Enter password 
3.Click Login button",Blank / admin123,Required field validation message should display,"""Required"" validation message displayed below username field",Pass
TS_LOGIN_04,Verify login with empty password ,TC_LOGIN_04,High,User is on login page,"1.Enter username
2.Leave password blank 
3.Click Login button",Admin / Blank,Requied field validation message should display,"""Required"" validation message displayed below username field",Pass
TS_LOGIN_05,Verify login with both fields empty,TC_LOGIN_05,High,User is on login page,"1.Leave username blank
2.Leave password blank 
3.Click Login button",Blank / Blank,Required field validation message should display,"""Required"" validation message displayed for both fields",Pass
TS_LOGIN_06,Verify login with password masking,TC_LOGIN_06,Medium,User is on login page,"1.Enter password in password field
2.Observe entered character",admin123,Password character should appear masked,Entered password characters apeared masked,Pass
TS_LOGIN_07,Verify login wtih spaces in fields,TC_LOGIN_07,High,User is on login page,"1.Enter spaces in username field
2.Enter spaces in password field
3.Click Login button",""" "" / "" """,Login should fail and validation/ error message should display,Application did not allow login with spaces and displayed error message,Pass
TS_LOGIN_08,Verify login invalild username,TC_LOGIN_03,High,User is on login page,"1.Enter username
2.Enter password
3.Click Login button",Admi / admin123,Error message should display,Error message displayed and login unsuccessful,Pass
TS_LOGIN_09,Verify Enter key Functionality,TC_LOGIN_09,Medium,User is on login page,"1.Enter username
2.Enter password
3.Press Enter key",Admin / admin123,User should login successfully,User successfully logged in after pressing Enter key,Pass
TS_LOGIN_10,Verify forgot password link navigation,TC_LOGIN_10,High,User is on login page,1.Click Forgot Password link,NA,User should navigate to reset password page,User redirected to reset password page successfully,Pass
TS_LOGIN_11,Verify login with username in different letter case,TC_LOGIN_11,Medium,User is on login page,"1.Enter username
2.Enter password 
3.Click Login button",ADMIN / admin123,User should successfully login regardless of username letter case,User should be able to login regardless of username letter case,Pass
TS_LOGIN_12,Verify login with password in different letter case,TC_LOGIN_12,High,User is on login page,"1.Enter username
2.Enter password 
3.Click Login button",admin / ADMIN123,Login should fail and validation/ error message should display,Login failed and error mesasge displayed when password entered in uppercase lettres,Pass
